gender,age,S1,S2,S3,S4,S5,S6,EX,NR,OP,AG,CN
1,37,0.5801537036895752,0.6276662349700928,0.5410473346710205,0.5309159159660339,0.6617184281349182,0.6704280376434326,4.2,3.5,3.4,3.8,2.2
1,38,0.6010903716087341,0.5145975947380066,0.6394891142845154,0.5073656439781189,0.5524107217788696,0.6768260598182678,2.7,2.4,5.0,4.7,2.6
2,22,0.6622591614723206,0.6096231341362,0.48414289951324463,0.5412958264350891,0.4926746189594269,0.6637046933174133,3.0,1.6,4.2,4.1,3.3
2,24,0.6078687906265259,0.6479183435440063,0.6427477598190308,0.5947021842002869,0.617457389831543,0.6962554454803467,3.3,1.8,3.7,4.3,2.5
1,27,0.647819995880127,0.7056962251663208,0.5918153524398804,0.5991201400756836,0.6387391686439514,0.6797819137573242,4.7,1.7,4.4,2.5,4.1
1,47,0.5484306812286377,0.7105820178985596,0.45320457220077515,0.5238164663314819,0.7095096111297607,0.642787516117096,1.3,1.7,2.6,3.0,4.0
1,28,0.6469634771347046,0.6029969453811646,0.5889229774475098,0.58259117603302,0.6521839499473572,0.6939241886138916,3.8,3.6,3.5,4.2,2.8
1,23,0.5347176194190979,0.7151058912277222,0.6394891142845154,0.6114768385887146,0.6413639187812805,0.5685787796974182,1.3,3.2,3.6,3.2,4.1
2,54,0.6354130506515503,0.690644383430481,0.5109007954597473,0.48787179589271545,0.6966129541397095,0.5989787578582764,3.2,3.5,4.2,4.6,4.0
2,38,0.5938335657119751,0.6702635288238525,0.642565131187439,0.5594949722290039,0.6256242990493774,0.5690219402313232,3.6,3.5,3.4,4.2,3.5
2,19,0.6251352429389954,0.6635135412216187,0.5731502175331116,0.5432219505310059,0.6855216026306152,0.5679143667221069,4.6,2.5,4.4,3.9,2.2
1,38,0.6483417749404907,0.6155636310577393,0.5142341256141663,0.5190987586975098,0.612795352935791,0.592301607131958,2.6,2.5,2.8,3.2,2.6
2,29,0.5694965124130249,0.577917754650116,0.6571454405784607,0.7122957706451416,0.5463862419128418,0.6116513609886169,4.0,3.2,3.9,4.2,4.1
1,28,0.5289894938468933,0.640119194984436,0.5530490875244141,0.47987785935401917,0.7012736797332764,0.535564661026001,3.7,3.6,4.2,3.1,3.4
1,30,0.5367540717124939,0.6309068202972412,0.5432525277137756,0.5051325559616089,0.5957220792770386,0.629854679107666,3.9,4.6,3.9,3.2,4.0
1,30,0.6758580207824707,0.8274344205856323,0.6511499881744385,0.5666812062263489,0.6529528498649597,0.823497474193573,1.6,2.1,3.3,4.1,3.6
1,32,0.6251352429389954,0.5747798681259155,0.5750874876976013,0.49219268560409546,0.6215820908546448,0.5893702507019043,3.6,3.0,4.6,3.9,3.5
1,18,0.6614686846733093,0.7375626564025879,0.5297535061836243,0.5299034118652344,0.7403663992881775,0.6133776903152466,2.6,3.5,3.7,4.7,4.0
1,19,0.7066137790679932,0.7062757015228271,0.604649007320404,0.6082202196121216,0.5172700881958008,0.5685787796974182,1.6,3.6,3.1,2.8,2.9
2,29,0.6230304837226868,0.6131011247634888,0.6137959957122803,0.5193625092506409,0.6507528424263,0.6565667986869812,1.4,3.5,5.0,2.5,3.1
2,21,0.6843305826187134,0.7486495971679688,0.5930460691452026,0.44760432839393616,0.5842319130897522,0.5936948657035828,2.0,3.2,4.4,4.9,4.2
1,37,0.5556423664093018,0.7495149970054626,0.501378059387207,0.4964539706707001,0.6036490201950073,0.6781567335128784,3.3,3.2,3.6,3.6,2.6
2,33,0.7072954773902893,0.6738468408584595,0.6056274771690369,0.522208571434021,0.6056765913963318,0.6396140456199646,4.1,2.4,3.9,4.5,2.1
1,60,0.49814707040786743,0.6947925090789795,0.49395424127578735,0.6040503978729248,0.6807122230529785,0.7260382771492004,4.0,4.8,4.9,4.4,3.6
2,32,0.6287128329277039,0.7051405906677246,0.47645676136016846,0.4717724919319153,0.6823103427886963,0.6952821016311646,4.0,2.2,4.5,4.3,3.2
1,27,0.57894366979599,0.5300329327583313,0.6527155637741089,0.45024406909942627,0.6668704748153687,0.6486340761184692,2.3,2.6,4.1,3.1,3.1
1,27,0.6010903716087341,0.5801706910133362,0.6634037494659424,0.6545455455780029,0.6316592693328857,0.6104499697685242,1.2,2.0,3.0,2.5,2.6
2,26,0.6087383031845093,0.6630765795707703,0.6394261717796326,0.6502456665039062,0.7059729099273682,0.6565667986869812,2.4,1.7,3.3,2.8,2.4
1,40,0.5694965124130249,0.6368024349212646,0.5756632089614868,0.6256616115570068,0.6413639187812805,0.6306893825531006,3.1,1.8,4.4,3.9,4.4
2,18,0.5186060667037964,0.7656676769256592,0.502898097038269,0.5114137530326843,0.7013577818870544,0.5758757591247559,1.6,2.7,3.7,4.7,2.6
2,39,0.5366217494010925,0.5917342305183411,0.6118824481964111,0.5423762202262878,0.6413639187812805,0.6427397131919861,4.4,3.0,4.9,4.4,2.1
1,44,0.49274203181266785,0.6790939569473267,0.4914456009864807,0.49272146821022034,0.6920713186264038,0.5679143667221069,3.5,1.9,4.2,4.2,2.4
2,25,0.7403897047042847,0.6939607262611389,0.5897846221923828,0.5329499840736389,0.6407212615013123,0.5685787796974182,2.2,3.4,3.8,4.0,3.7
2,27,0.573093831539154,0.5893400311470032,0.5808801054954529,0.6021602153778076,0.6466600894927979,0.5978086590766907,4.6,3.3,4.2,3.5,4.4
1,31,0.6995493769645691,0.7065086364746094,0.5306749939918518,0.5852211713790894,0.6560690999031067,0.6303901076316833,3.8,3.3,4.4,3.9,3.8
2,41,0.6020864248275757,0.6299197673797607,0.6029699444770813,0.6084412336349487,0.7376136779785156,0.5980954766273499,4.1,3.3,4.6,4.0,3.6
1,23,0.6149684190750122,0.6465558409690857,0.5585808157920837,0.5724720358848572,0.5141265392303467,0.5441651344299316,2.6,3.8,4.2,3.0,4.2
1,27,0.5938702821731567,0.6740228533744812,0.6084997653961182,0.6084412336349487,0.6333842277526855,0.6463798880577087,3.3,4.4,4.3,3.7,4.3
2,30,0.6040077805519104,0.6718454360961914,0.5730032920837402,0.5837063789367676,0.6689156889915466,0.6450401544570923,2.0,2.5,4.2,3.5,2.5
2,18,0.6251352429389954,0.6300386190414429,0.549555778503418,0.4875379204750061,0.5524107217788696,0.6544890403747559,2.7,3.5,3.2,4.2,3.4
2,18,0.6127273440361023,0.6614386439323425,0.6084997653961182,0.6147240400314331,0.6256242990493774,0.5753107070922852,3.2,2.1,4.9,2.4,3.1
2,26,0.6938090324401855,0.7025952339172363,0.6104874014854431,0.5636020302772522,0.6471093893051147,0.6377928853034973,3.3,2.7,4.3,5.0,4.3
