gender,age,S1,S2,S3,S4,S5,S6,EX,NR,OP,AG,CN
1,30,0.04838988557457924,0.15142300724983215,0.2783055305480957,0.1442081332206726,-0.008536607958376408,0.06508903950452805,3.9,4.6,3.9,3.2,4.0
1,30,0.4406704902648926,0.3250495195388794,0.2807175815105438,0.2414691150188446,0.1905554234981537,0.3466324210166931,1.6,2.1,3.3,4.1,3.6
1,32,0.05644821748137474,-0.004485690966248512,0.39898449182510376,0.3371581435203552,0.16796141862869263,0.192610964179039,3.6,3.0,4.6,3.9,3.5
1,18,0.17186793684959412,0.6556076407432556,0.08512531220912933,-0.005837880074977875,0.2411360740661621,0.14831441640853882,2.6,3.5,3.7,4.7,4.0
1,19,0.27116677165031433,0.36723172664642334,0.1341087967157364,0.1816023290157318,0.21336664259433746,0.13469302654266357,1.6,3.6,3.1,2.8,2.9
2,29,0.22478003799915314,0.17188003659248352,0.1417347490787506,0.10058938711881638,0.1525571644306183,0.13736096024513245,1.4,3.5,5.0,2.5,3.1
2,21,0.25836724042892456,0.38405007123947144,0.1856544315814972,0.07891945540904999,0.06758169829845428,0.17870822548866272,2.0,3.2,4.4,4.9,4.2
1,37,0.04499208554625511,0.5252628326416016,0.15560048818588257,0.07432901859283447,0.15588760375976562,0.122327521443367,3.3,3.2,3.6,3.6,2.6
2,33,0.46783798933029175,0.12530812621116638,0.13430695235729218,0.0769537091255188,0.10431566834449768,0.08042311668395996,4.1,2.4,3.9,4.5,2.1
1,60,0.20381996035575867,0.2445073276758194,0.36887651681900024,0.1965411752462387,0.2353828251361847,0.2167939841747284,4.0,4.8,4.9,4.4,3.6
2,32,0.2586754858493805,0.1094062477350235,0.16363945603370667,0.10928212106227875,0.27612459659576416,0.23347528278827667,4.0,2.2,4.5,4.3,3.2
1,27,0.18050965666770935,0.07281124591827393,0.1542157679796219,0.07692553848028183,0.26495665311813354,0.08393330872058868,2.3,2.6,4.1,3.1,3.1
1,27,0.13928420841693878,0.028344040736556053,0.6011384725570679,0.5681611895561218,0.22133934497833252,0.1470220535993576,1.2,2.0,3.0,2.5,2.6
2,26,0.19844748079776764,0.15385867655277252,0.2093990296125412,0.20348931849002838,0.39139530062675476,0.13736096024513245,2.4,1.7,3.3,2.8,2.4
1,40,0.10044620931148529,0.2127620428800583,0.29440754652023315,0.3046974837779999,0.21606996655464172,0.22920912504196167,3.1,1.8,4.4,3.9,4.4
2,18,-0.01866631582379341,0.5085089206695557,0.1313137263059616,0.11680133640766144,0.2993488013744354,0.16167297959327698,1.6,2.7,3.7,4.7,2.6
2,39,0.03895913064479828,0.07896444201469421,0.21710985898971558,0.12219474464654922,0.21606996655464172,0.14697794616222382,4.4,3.0,4.9,4.4,2.1
1,44,0.050083234906196594,0.1809816062450409,0.06164083629846573,0.014671549201011658,0.3512144684791565,0.22060653567314148,3.5,1.9,4.2,4.2,2.4
2,25,0.17438453435897827,0.3245862126350403,0.1679474115371704,0.09570096433162689,0.18520638346672058,0.13469302654266357,2.2,3.4,3.8,4.0,3.7
2,27,0.047711003571748734,0.13644391298294067,0.22280701994895935,0.1562185287475586,0.15964260697364807,0.01492946594953537,4.6,3.3,4.2,3.5,4.4
1,31,0.13822665810585022,0.22159112989902496,0.1381504088640213,0.23680807650089264,0.36038804054260254,0.26355695724487305,3.8,3.3,4.4,3.9,3.8
2,41,0.005189994815737009,0.05469285324215889,0.29110950231552124,0.15418890118598938,0.26414403319358826,0.09464423358440399,4.1,3.3,4.6,4.0,3.6
1,23,0.06059776991605759,0.28034913539886475,0.21142816543579102,0.2592394948005676,0.24930715560913086,0.14839226007461548,2.6,3.8,4.2,3.0,4.2
1,27,0.21729111671447754,0.15510930120944977,0.21342463791370392,0.15418890118598938,0.16594596207141876,0.11700715124607086,3.3,4.4,4.3,3.7,4.3
