gender,age,S1,S2,S3,S4,S5,S6,EX,NR,OP,AG,CN
1,40,0.3703542947769165,0.6837748289108276,0.35751599073410034,0.4974808394908905,0.5279699563980103,0.7006996870040894,3.1,1.8,4.4,3.9,4.4
2,18,0.25415337085723877,0.771422266960144,0.5013129711151123,0.5611823797225952,0.7229964733123779,0.4895473122596741,1.6,2.7,3.7,4.7,2.6
2,39,0.446593314409256,0.431929349899292,0.2838928699493408,0.47045984864234924,0.5279699563980103,0.5235022306442261,4.4,3.0,4.9,4.4,2.1
1,44,0.2126130759716034,0.45075350999832153,0.22665967047214508,0.21344810724258423,0.6767845749855042,0.5324475765228271,3.5,1.9,4.2,4.2,2.4
2,25,0.6890373229980469,0.8177061676979065,0.43480661511421204,0.38330408930778503,0.6205740571022034,0.4954959452152252,2.2,3.4,3.8,4.0,3.7
2,27,0.33811113238334656,0.7069814205169678,0.4891405999660492,0.36523231863975525,0.4055694341659546,0.2670970559120178,4.6,3.3,4.2,3.5,4.4
1,31,0.33985841274261475,0.7404535412788391,0.37319350242614746,0.47893983125686646,0.6877403259277344,0.47862809896469116,3.8,3.3,4.4,3.9,3.8
2,41,0.49881842732429504,0.4545975625514984,0.39412325620651245,0.24235638976097107,0.6883716583251953,0.46390798687934875,4.1,3.3,4.6,4.0,3.6
1,23,0.33550798892974854,0.7397029399871826,0.5892622470855713,0.41734859347343445,0.7446704506874084,0.42108219861984253,2.6,3.8,4.2,3.0,4.2
1,27,0.6018832325935364,0.4787081778049469,0.25008508563041687,0.24235638976097107,0.6020549535751343,0.5612419843673706,3.3,4.4,4.3,3.7,4.3
2,30,0.3193344473838806,0.5004852414131165,0.46497517824172974,0.46310198307037354,0.528705894947052,0.5361093282699585,2.0,2.5,4.2,3.5,2.5
2,18,0.7012351751327515,0.5416591167449951,0.48263752460479736,0.36997848749160767,0.5874683856964111,0.5227389931678772,2.7,3.5,3.2,4.2,3.4
2,18,0.26672041416168213,0.8042242527008057,0.25008508563041687,0.516599178314209,0.5024561882019043,0.4600342810153961,3.2,2.1,4.9,2.4,3.1
2,26,0.6806522607803345,0.6828970909118652,0.5732913613319397,0.5768344402313232,0.4951828122138977,0.5493723154067993,3.3,2.7,4.3,5.0,4.3
2,27,0.25063127279281616,0.3825986981391907,0.35340285301208496,0.3716955780982971,0.3885255455970764,0.11848070472478867,2.3,1.9,4.5,3.4,4.2
2,18,0.4867553114891052,0.746010959148407,0.17622222006320953,0.15783655643463135,0.32351988554000854,0.4310997724533081,1.0,2.7,4.0,4.5,1.1
2,31,0.4030398726463318,0.5726882219314575,0.41487735509872437,0.47506725788116455,0.11429056525230408,0.6408432722091675,2.3,1.4,4.4,2.6,3.6
2,18,0.3862001895904541,0.5715698003768921,0.34464916586875916,0.4706074595451355,0.3664971590042114,0.43999725580215454,3.7,1.7,4.8,4.7,3.0
2,20,0.7117874622344971,0.8701704740524292,0.4789590537548065,0.4606783390045166,0.4743986427783966,0.36197057366371155,3.4,2.5,3.7,4.3,3.6
1,44,0.3283345401287079,0.7413174510002136,0.4627671241760254,0.5287777185440063,0.673018217086792,0.5462531447410583,2.3,1.8,3.6,4.2,2.9
2,25,0.4549331068992615,0.6523281335830688,0.49336615204811096,0.612770676612854,0.5279699563980103,0.4954959452152252,3.1,2.5,5.0,4.2,3.3
2,34,0.42458274960517883,0.7492981553077698,0.20954464375972748,0.6380845308303833,0.5279699563980103,0.49166133999824524,3.3,2.2,3.6,3.9,2.3
2,23,0.735100269317627,0.6531747579574585,0.41736137866973877,0.5898061990737915,0.401606947183609,0.3426961898803711,3.7,2.4,4.0,4.3,2.9
2,34,0.33599916100502014,0.6296403408050537,0.3184196352958679,0.35659801959991455,0.5324493050575256,0.5898445844650269,3.8,2.9,4.7,4.0,3.7
1,19,0.6344012022018433,0.6966215968132019,0.4219318628311157,0.42615747451782227,0.26082009077072144,0.29151198267936707,3.9,3.6,3.0,4.6,3.6
1,27,0.6083450317382812,0.6797001361846924,0.5101391077041626,0.4730793833732605,0.5466823577880859,0.5234355926513672,4.0,3.8,4.1,4.2,3.9
2,53,0.27288514375686646,0.49330636858940125,0.5425952672958374,0.4571261703968048,0.5874683856964111,0.5772821307182312,3.8,3.3,3.8,4.4,4.1
1,39,0.7722443342208862,0.4536740779876709,0.6020200252532959,0.5812684297561646,0.7729790806770325,0.49696195125579834,1.9,4.0,4.9,4.3,3.2
1,19,0.3532508909702301,0.22182001173496246,0.37342193722724915,0.4219949245452881,0.32586055994033813,0.4716668725013733,2.9,2.2,4.9,3.2,2.4
1,40,0.2634626626968384,0.5674977898597717,0.41493117809295654,0.32822197675704956,0.7477796077728271,0.27429211139678955,4.1,4.6,4.6,3.7,3.7
2,27,0.38003844022750854,0.6712530851364136,0.27789729833602905,0.3776138424873352,0.6255438327789307,0.49593091011047363,4.1,3.9,5.0,3.7,2.3
2,18,0.2356244921684265,0.3238576054573059,0.5429525375366211,0.5994079113006592,0.8039188385009766,0.45595812797546387,2.1,2.6,4.1,4.0,4.7
2,39,0.2268378883600235,0.33879828453063965,0.2777077257633209,0.4726276397705078,0.18894393742084503,0.3025456368923187,4.6,1.4,4.0,3.3,2.5
1,22,0.7001667022705078,0.6864612102508545,0.4631326198577881,0.527881383895874,0.5279699563980103,0.5350876450538635,2.8,3.2,3.0,3.0,3.3
2,41,0.765203595161438,0.5369317531585693,0.4955616593360901,0.46502405405044556,0.33453646302223206,0.549416184425354,2.3,1.7,4.4,3.7,2.3
2,41,0.765203595161438,0.5369317531585693,0.4955616593360901,0.46502405405044556,0.33453646302223206,0.549416184425354,2.3,1.7,4.4,3.7,2.3
2,19,0.4387715756893158,0.6651304960250854,0.46119755506515503,0.44057825207710266,0.2514525055885315,0.8162822723388672,4.4,3.3,4.2,4.1,3.6
1,19,0.6915572285652161,0.6175394058227539,0.3819729685783386,0.43804794549942017,0.7539437413215637,0.4036121070384979,3.0,3.2,2.9,3.8,3.5
2,19,0.7157578468322754,0.333748996257782,0.35125499963760376,0.3404391407966614,0.5466823577880859,0.4964727759361267,1.2,2.2,3.8,2.6,2.6
1,21,0.7296645641326904,0.8073252439498901,0.3500521183013916,0.4553620517253876,0.7878621220588684,0.525609016418457,2.9,2.5,3.3,3.6,3.5
2,44,0.4561644196510315,0.7644761800765991,0.3950958251953125,0.5609897375106812,0.4607892632484436,0.3183397054672241,2.0,3.8,3.4,2.8,3.6
2,39,0.3570188283920288,0.5886343717575073,0.36882442235946655,0.3903433382511139,0.5561814308166504,0.43872055411338806,3.2,3.8,4.1,4.9,3.1
2,20,0.3341694474220276,0.6413608193397522,0.38650110363960266,0.5971100330352783,0.17977607250213623,0.6921088695526123,2.8,3.7,3.0,3.4,2.0
2,50,0.6688112020492554,0.5582295656204224,0.5042428970336914,0.543262243270874,0.5874683856964111,0.4954959452152252,3.0,4.8,4.5,4.3,3.9
1,30,0.6590668559074402,0.5746282935142517,0.4996282756328583,0.6780391931533813,0.44311171770095825,0.4954959452152252,2.7,3.7,3.3,3.6,2.7
2,22,0.6174622178077698,0.8382294178009033,0.694298267364502,0.5419224500656128,0.9173774719238281,0.36734020709991455,4.2,2.4,4.1,4.7,3.3
